Zone: zone_0_0
  Class: person, x: 352, y: 78, confidence: 0.46
  Class: person, x: 294, y: 45, confidence: 0.45
  Class: person, x: 343, y: 94, confidence: 0.42
  Class: person, x: 319, y: 16, confidence: 0.4
  Class: person, x: 342, y: 40, confidence: 0.36
  Class: person, x: 327, y: 56, confidence: 0.35
  Class: person, x: 318, y: 62, confidence: 0.35
  Class: person, x: 197, y: 54, confidence: 0.32
  Class: person, x: 298, y: 57, confidence: 0.31
  Class: person, x: 285, y: 21, confidence: 0.31
  Class: person, x: 331, y: 83, confidence: 0.31
  Class: person, x: 18, y: 94, confidence: 0.31
  Class: person, x: 224, y: 72, confidence: 0.3
  Class: person, x: 65, y: 40, confidence: 0.3
  Class: person, x: 197, y: 69, confidence: 0.3
  Class: person, x: 237, y: 28, confidence: 0.3
  Class: person, x: 315, y: 58, confidence: 0.3
  Class: person, x: 257, y: 38, confidence: 0.28
  Class: person, x: 10, y: 75, confidence: 0.28
  Class: person, x: 181, y: 73, confidence: 0.26
  Class: person, x: 59, y: 65, confidence: 0.26
  Class: person, x: 309, y: 85, confidence: 0.26
  Class: person, x: 75, y: 70, confidence: 0.26
  Class: person, x: 340, y: 51, confidence: 0.26
  Class: person, x: 238, y: 82, confidence: 0.25
  Class: person, x: 337, y: 64, confidence: 0.25
  Class: person, x: 213, y: 56, confidence: 0.25
  Class: person, x: 64, y: 71, confidence: 0.24
  Class: person, x: 190, y: 84, confidence: 0.24
  Class: person, x: 332, y: 20, confidence: 0.24
  Class: person, x: 357, y: 56, confidence: 0.24
  Class: person, x: 54, y: 48, confidence: 0.24
  Class: person, x: 36, y: 100, confidence: 0.23
  Class: person, x: 355, y: 66, confidence: 0.23
  Class: person, x: 273, y: 82, confidence: 0.23
  Class: person, x: 261, y: 70, confidence: 0.22
  Class: person, x: 292, y: 7, confidence: 0.22
  Class: person, x: 298, y: 89, confidence: 0.22
  Class: person, x: 271, y: 41, confidence: 0.21
  Class: person, x: 72, y: 59, confidence: 0.21
  Class: person, x: 334, y: 68, confidence: 0.21
  Class: person, x: 19, y: 84, confidence: 0.21
  Class: person, x: 279, y: 5, confidence: 0.2
  Class: person, x: 293, y: 12, confidence: 0.2
  Class: person, x: 223, y: 79, confidence: 0.2
  Class: person, x: 297, y: 14, confidence: 0.2
  Class: person, x: 226, y: 85, confidence: 0.19
  Class: person, x: 48, y: 68, confidence: 0.19
  Class: person, x: 323, y: 44, confidence: 0.19
  Class: person, x: 12, y: 100, confidence: 0.19
  Class: person, x: 213, y: 69, confidence: 0.19
  Class: person, x: 341, y: 30, confidence: 0.19
  Class: person, x: 20, y: 46, confidence: 0.18
  Class: person, x: 106, y: 45, confidence: 0.18
  Class: person, x: 81, y: 94, confidence: 0.18
  Class: person, x: 55, y: 89, confidence: 0.18
  Class: person, x: 82, y: 43, confidence: 0.18
  Class: person, x: 293, y: 1, confidence: 0.18
  Class: person, x: 259, y: 85, confidence: 0.18
  Class: person, x: 105, y: 67, confidence: 0.18
  Class: person, x: 241, y: 91, confidence: 0.17
  Class: person, x: 9, y: 61, confidence: 0.17
  Class: person, x: 102, y: 99, confidence: 0.17
  Class: person, x: 100, y: 75, confidence: 0.16
  Class: person, x: 292, y: 19, confidence: 0.16
  Class: person, x: 61, y: 56, confidence: 0.16
  Class: person, x: 123, y: 66, confidence: 0.16
  Class: person, x: 289, y: 1, confidence: 0.16
  Class: person, x: 358, y: 70, confidence: 0.15
  Class: person, x: 335, y: 60, confidence: 0.15
  Class: person, x: 345, y: 44, confidence: 0.15
  Class: person, x: 293, y: 85, confidence: 0.15
  Class: person, x: 3, y: 49, confidence: 0.15
  Class: person, x: 57, y: 78, confidence: 0.15
  Class: person, x: 91, y: 69, confidence: 0.15
  Class: person, x: 39, y: 40, confidence: 0.15
  Class: person, x: 341, y: 72, confidence: 0.15
  Class: person, x: 300, y: 5, confidence: 0.15
  Class: person, x: 320, y: 75, confidence: 0.15
  Class: person, x: 31, y: 62, confidence: 0.14
  Class: person, x: 175, y: 89, confidence: 0.14
  Class: person, x: 96, y: 99, confidence: 0.14
  Class: person, x: 113, y: 67, confidence: 0.14
  Class: person, x: 330, y: 73, confidence: 0.14
  Class: person, x: 258, y: 42, confidence: 0.14
  Class: person, x: 93, y: 37, confidence: 0.14
  Class: person, x: 312, y: 14, confidence: 0.14
  Class: person, x: 202, y: 80, confidence: 0.14
  Class: person, x: 179, y: 82, confidence: 0.14
  Class: person, x: 240, y: 100, confidence: 0.13
  Class: person, x: 28, y: 72, confidence: 0.13
  Class: person, x: 3, y: 84, confidence: 0.13
  Class: person, x: 271, y: 3, confidence: 0.13
  Class: person, x: 3, y: 33, confidence: 0.13
  Class: person, x: 46, y: 82, confidence: 0.13
  Class: person, x: 264, y: 59, confidence: 0.13
  Class: person, x: 187, y: 79, confidence: 0.13
  Class: person, x: 274, y: 54, confidence: 0.13
  Class: person, x: 94, y: 78, confidence: 0.13
  Class: person, x: 263, y: 31, confidence: 0.13
  Class: person, x: 147, y: 61, confidence: 0.13
  Class: person, x: 177, y: 98, confidence: 0.13
  Class: person, x: 113, y: 100, confidence: 0.13
  Class: person, x: 316, y: 85, confidence: 0.13
  Class: person, x: 39, y: 62, confidence: 0.13
  Class: person, x: 165, y: 74, confidence: 0.13
  Class: person, x: 259, y: 28, confidence: 0.13
  Class: person, x: 79, y: 80, confidence: 0.13
  Class: person, x: 262, y: 92, confidence: 0.13
  Class: person, x: 156, y: 82, confidence: 0.13
  Class: person, x: 254, y: 100, confidence: 0.12
  Class: person, x: 67, y: 81, confidence: 0.12
  Class: person, x: 260, y: 73, confidence: 0.12
  Class: person, x: 356, y: 85, confidence: 0.12
  Class: person, x: 151, y: 76, confidence: 0.12
  Class: person, x: 266, y: 18, confidence: 0.12
  Class: person, x: 279, y: 74, confidence: 0.12
  Class: person, x: 123, y: 46, confidence: 0.11
  Class: person, x: 153, y: 86, confidence: 0.11
  Class: person, x: 52, y: 40, confidence: 0.11
