Zone: zone_0_0
  Class: person, x: 343, y: 82, confidence: 0.41
  Class: person, x: 142, y: 32, confidence: 0.37
  Class: person, x: 147, y: 41, confidence: 0.34
  Class: person, x: 330, y: 25, confidence: 0.29
  Class: person, x: 327, y: 66, confidence: 0.28
  Class: person, x: 309, y: 54, confidence: 0.28
  Class: person, x: 218, y: 69, confidence: 0.26
  Class: person, x: 143, y: 22, confidence: 0.24
  Class: person, x: 87, y: 71, confidence: 0.22
  Class: person, x: 300, y: 24, confidence: 0.21
  Class: person, x: 190, y: 11, confidence: 0.19
  Class: person, x: 223, y: 16, confidence: 0.17
  Class: person, x: 189, y: 32, confidence: 0.17
  Class: person, x: 241, y: 19, confidence: 0.16
  Class: person, x: 320, y: 5, confidence: 0.16
  Class: person, x: 168, y: 7, confidence: 0.14
  Class: person, x: 286, y: 30, confidence: 0.14
  Class: person, x: 165, y: 33, confidence: 0.14
  Class: person, x: 289, y: 23, confidence: 0.14
  Class: person, x: 184, y: 5, confidence: 0.13
  Class: person, x: 161, y: 51, confidence: 0.13
  Class: person, x: 18, y: 57, confidence: 0.13
  Class: person, x: 59, y: 57, confidence: 0.12
  Class: person, x: 323, y: 16, confidence: 0.12
  Class: person, x: 320, y: 37, confidence: 0.12
  Class: person, x: 156, y: 20, confidence: 0.11
  Class: person, x: 134, y: 62, confidence: 0.1
  Class: person, x: 225, y: 26, confidence: 0.1
  Class: person, x: 300, y: 5, confidence: 0.1
  Class: person, x: 112, y: 28, confidence: 0.1
  Class: person, x: 82, y: 77, confidence: 0.09
  Class: person, x: 74, y: 31, confidence: 0.09
  Class: person, x: 91, y: 19, confidence: 0.09
  Class: person, x: 205, y: 25, confidence: 0.09
  Class: person, x: 33, y: 48, confidence: 0.08

Zone: zone_0_1
  Class: person, x: 656, y: 36, confidence: 0.57
  Class: person, x: 721, y: 95, confidence: 0.48
  Class: person, x: 629, y: 89, confidence: 0.41
  Class: person, x: 775, y: 76, confidence: 0.37
  Class: person, x: 712, y: 52, confidence: 0.37
  Class: person, x: 767, y: 36, confidence: 0.34
  Class: person, x: 532, y: 90, confidence: 0.34
  Class: person, x: 675, y: 11, confidence: 0.33
  Class: person, x: 614, y: 53, confidence: 0.32
  Class: person, x: 494, y: 63, confidence: 0.32
  Class: person, x: 820, y: 35, confidence: 0.31
  Class: person, x: 600, y: 8, confidence: 0.31
  Class: person, x: 797, y: 51, confidence: 0.3
  Class: person, x: 628, y: 3, confidence: 0.3
  Class: person, x: 744, y: 85, confidence: 0.28
  Class: person, x: 788, y: 37, confidence: 0.27
  Class: person, x: 794, y: 62, confidence: 0.26
  Class: person, x: 763, y: 51, confidence: 0.25
  Class: person, x: 811, y: 53, confidence: 0.24
  Class: person, x: 551, y: 80, confidence: 0.24
  Class: person, x: 489, y: 38, confidence: 0.24
  Class: person, x: 748, y: 4, confidence: 0.23
  Class: person, x: 495, y: 92, confidence: 0.23
  Class: person, x: 829, y: 55, confidence: 0.23
  Class: person, x: 628, y: 10, confidence: 0.22
  Class: person, x: 625, y: 70, confidence: 0.22
  Class: person, x: 619, y: 28, confidence: 0.2
  Class: person, x: 777, y: 18, confidence: 0.2
  Class: person, x: 573, y: 69, confidence: 0.19
  Class: person, x: 745, y: 42, confidence: 0.19
  Class: person, x: 564, y: 56, confidence: 0.18
  Class: person, x: 689, y: 72, confidence: 0.18
  Class: person, x: 612, y: 97, confidence: 0.18
  Class: person, x: 484, y: 48, confidence: 0.17
  Class: person, x: 565, y: 92, confidence: 0.16
  Class: person, x: 797, y: 5, confidence: 0.16
  Class: person, x: 797, y: 22, confidence: 0.15
  Class: person, x: 582, y: 55, confidence: 0.15
  Class: person, x: 802, y: 81, confidence: 0.14
  Class: person, x: 739, y: 54, confidence: 0.14
  Class: person, x: 515, y: 51, confidence: 0.13
  Class: person, x: 652, y: 60, confidence: 0.13
  Class: person, x: 514, y: 38, confidence: 0.13
  Class: person, x: 587, y: 89, confidence: 0.13
  Class: person, x: 645, y: 51, confidence: 0.13
  Class: person, x: 599, y: 85, confidence: 0.13
  Class: person, x: 803, y: 36, confidence: 0.13
  Class: person, x: 488, y: 83, confidence: 0.12
  Class: person, x: 784, y: 58, confidence: 0.12
  Class: person, x: 716, y: 24, confidence: 0.12
  Class: person, x: 772, y: 90, confidence: 0.12
  Class: person, x: 739, y: 76, confidence: 0.12
  Class: person, x: 832, y: 97, confidence: 0.11
  Class: person, x: 774, y: 3, confidence: 0.11
  Class: person, x: 756, y: 94, confidence: 0.11
  Class: person, x: 534, y: 59, confidence: 0.11
  Class: person, x: 530, y: 49, confidence: 0.11
  Class: person, x: 679, y: 65, confidence: 0.1
  Class: person, x: 535, y: 18, confidence: 0.1
  Class: person, x: 706, y: 2, confidence: 0.1
  Class: person, x: 529, y: 6, confidence: 0.1
  Class: person, x: 616, y: 87, confidence: 0.1
  Class: person, x: 632, y: 97, confidence: 0.09
  Class: person, x: 689, y: 24, confidence: 0.09
  Class: person, x: 750, y: 78, confidence: 0.09
  Class: person, x: 769, y: 26, confidence: 0.09
  Class: person, x: 483, y: 14, confidence: 0.09
  Class: person, x: 712, y: 32, confidence: 0.09
  Class: person, x: 674, y: 54, confidence: 0.08
  Class: person, x: 598, y: 53, confidence: 0.08

Zone: zone_0_2
  Class: person, x: 1147, y: 44, confidence: 0.52
  Class: person, x: 1284, y: 50, confidence: 0.52
  Class: person, x: 981, y: 24, confidence: 0.49
  Class: person, x: 1095, y: 44, confidence: 0.49
  Class: person, x: 1271, y: 9, confidence: 0.47
  Class: person, x: 1234, y: 9, confidence: 0.47
  Class: person, x: 1251, y: 9, confidence: 0.45
  Class: person, x: 1229, y: 37, confidence: 0.45
  Class: person, x: 1311, y: 38, confidence: 0.43
  Class: person, x: 1010, y: 15, confidence: 0.43
  Class: person, x: 1060, y: 4, confidence: 0.42
  Class: person, x: 1028, y: 76, confidence: 0.42
  Class: person, x: 1252, y: 22, confidence: 0.39
  Class: person, x: 1213, y: 10, confidence: 0.39
  Class: person, x: 1015, y: 5, confidence: 0.38
  Class: person, x: 1271, y: 21, confidence: 0.37
  Class: person, x: 1294, y: 6, confidence: 0.36
  Class: person, x: 968, y: 3, confidence: 0.35
  Class: person, x: 1286, y: 6, confidence: 0.34
  Class: person, x: 1075, y: 41, confidence: 0.3
  Class: person, x: 1227, y: 46, confidence: 0.3
  Class: person, x: 1022, y: 30, confidence: 0.3
  Class: person, x: 1150, y: 5, confidence: 0.29
  Class: person, x: 988, y: 74, confidence: 0.28
  Class: person, x: 1196, y: 51, confidence: 0.28
  Class: person, x: 1294, y: 19, confidence: 0.28
  Class: person, x: 1251, y: 49, confidence: 0.25
  Class: person, x: 965, y: 21, confidence: 0.25
  Class: person, x: 1248, y: 56, confidence: 0.25
  Class: person, x: 986, y: 7, confidence: 0.25
  Class: person, x: 1170, y: 39, confidence: 0.24
  Class: person, x: 1050, y: 59, confidence: 0.22
  Class: person, x: 1306, y: 9, confidence: 0.21
  Class: person, x: 1050, y: 73, confidence: 0.18
  Class: person, x: 992, y: 15, confidence: 0.18
  Class: person, x: 1294, y: 34, confidence: 0.18
  Class: person, x: 1052, y: 25, confidence: 0.18
  Class: person, x: 1011, y: 42, confidence: 0.17
  Class: person, x: 1309, y: 2, confidence: 0.16
  Class: person, x: 1272, y: 2, confidence: 0.16
  Class: person, x: 1316, y: 15, confidence: 0.15
  Class: person, x: 1311, y: 21, confidence: 0.15
  Class: person, x: 975, y: 55, confidence: 0.13
  Class: person, x: 1081, y: 3, confidence: 0.13
  Class: person, x: 988, y: 93, confidence: 0.13
  Class: person, x: 1257, y: 2, confidence: 0.12
  Class: person, x: 1038, y: 43, confidence: 0.11
  Class: person, x: 1047, y: 11, confidence: 0.11
  Class: person, x: 1249, y: 39, confidence: 0.1
  Class: person, x: 1199, y: 33, confidence: 0.1
  Class: person, x: 1278, y: 25, confidence: 0.09
  Class: person, x: 1298, y: 56, confidence: 0.09
  Class: person, x: 1277, y: 38, confidence: 0.09
  Class: person, x: 972, y: 91, confidence: 0.08
  Class: person, x: 1027, y: 66, confidence: 0.08
  Class: person, x: 1195, y: 79, confidence: 0.08

Zone: zone_0_3
  Class: person, x: 1567, y: 98, confidence: 0.58
  Class: person, x: 1514, y: 31, confidence: 0.46
  Class: person, x: 1456, y: 19, confidence: 0.42
  Class: person, x: 1462, y: 34, confidence: 0.42
  Class: person, x: 1485, y: 18, confidence: 0.41
  Class: person, x: 1444, y: 12, confidence: 0.4
  Class: person, x: 1583, y: 17, confidence: 0.4
  Class: person, x: 1514, y: 5, confidence: 0.4
  Class: person, x: 1620, y: 19, confidence: 0.39
  Class: person, x: 1497, y: 2, confidence: 0.39
  Class: person, x: 1566, y: 29, confidence: 0.37
  Class: person, x: 1670, y: 35, confidence: 0.34
  Class: person, x: 1635, y: 21, confidence: 0.33
  Class: person, x: 1444, y: 50, confidence: 0.33
  Class: person, x: 1740, y: 27, confidence: 0.31
  Class: person, x: 1658, y: 8, confidence: 0.31
  Class: person, x: 1504, y: 14, confidence: 0.28
  Class: person, x: 1588, y: 8, confidence: 0.27
  Class: person, x: 1606, y: 25, confidence: 0.27
  Class: person, x: 1658, y: 19, confidence: 0.26
  Class: person, x: 1543, y: 31, confidence: 0.26
  Class: person, x: 1576, y: 67, confidence: 0.25
  Class: person, x: 1637, y: 30, confidence: 0.25
  Class: person, x: 1572, y: 22, confidence: 0.24
  Class: person, x: 1476, y: 29, confidence: 0.24
  Class: person, x: 1586, y: 26, confidence: 0.23
  Class: person, x: 1620, y: 28, confidence: 0.21
  Class: person, x: 1570, y: 9, confidence: 0.21
  Class: person, x: 1473, y: 51, confidence: 0.21
  Class: person, x: 1550, y: 21, confidence: 0.21
  Class: person, x: 1561, y: 5, confidence: 0.21
  Class: person, x: 1723, y: 25, confidence: 0.2
  Class: person, x: 1534, y: 55, confidence: 0.2
  Class: person, x: 1646, y: 13, confidence: 0.19
  Class: person, x: 1502, y: 41, confidence: 0.18
  Class: person, x: 1758, y: 4, confidence: 0.18
  Class: person, x: 1496, y: 13, confidence: 0.17
  Class: person, x: 1530, y: 35, confidence: 0.17
  Class: person, x: 1723, y: 42, confidence: 0.17
  Class: person, x: 1544, y: 51, confidence: 0.15
  Class: person, x: 1448, y: 38, confidence: 0.15
  Class: person, x: 1700, y: 23, confidence: 0.15
  Class: person, x: 1602, y: 43, confidence: 0.15
  Class: person, x: 1793, y: 72, confidence: 0.14
  Class: person, x: 1504, y: 22, confidence: 0.14
  Class: person, x: 1500, y: 29, confidence: 0.14
  Class: person, x: 1511, y: 41, confidence: 0.14
  Class: person, x: 1678, y: 48, confidence: 0.14
  Class: person, x: 1676, y: 11, confidence: 0.13
  Class: person, x: 1577, y: 1, confidence: 0.13
  Class: person, x: 1461, y: 11, confidence: 0.13
  Class: person, x: 1761, y: 35, confidence: 0.13
  Class: person, x: 1592, y: 59, confidence: 0.12
  Class: person, x: 1554, y: 72, confidence: 0.12
  Class: person, x: 1614, y: 79, confidence: 0.12
  Class: person, x: 1705, y: 37, confidence: 0.12
  Class: person, x: 1537, y: 8, confidence: 0.12
  Class: person, x: 1618, y: 44, confidence: 0.11
  Class: person, x: 1575, y: 50, confidence: 0.11
  Class: person, x: 1473, y: 2, confidence: 0.11
  Class: person, x: 1593, y: 49, confidence: 0.11
